iter	Passed	Remaining
0	36	5973
1	69	5683
2	103	5612
3	131	5282
4	153	4915
5	177	4707
6	197	4460
7	218	4282
8	245	4256
9	274	4255
10	300	4206
11	324	4142
12	346	4056
13	370	3990
14	395	3950
15	425	3959
16	459	3997
17	498	4072
18	527	4054
19	551	3995
20	573	3929
21	595	3870
22	618	3815
23	636	3738
24	656	3675
25	680	3639
26	708	3622
27	731	3579
28	753	3531
29	771	3471
30	788	3409
31	806	3352
32	825	3300
33	842	3246
34	859	3192
35	890	3189
36	922	3190
37	950	3176
38	976	3153
39	997	3118
40	1016	3074
41	1033	3026
42	1051	2984
43	1068	2938
44	1086	2896
45	1105	2859
46	1123	2820
47	1140	2779
48	1158	2743
49	1182	2720
50	1201	2685
51	1217	2646
52	1235	2610
53	1254	2579
54	1279	2558
55	1307	2545
56	1336	2533
57	1367	2522
58	1395	2507
59	1416	2479
60	1439	2454
61	1461	2428
62	1483	2402
63	1509	2382
64	1529	2353
65	1549	2324
66	1567	2293
67	1585	2261
68	1606	2234
69	1625	2205
70	1645	2177
71	1661	2146
72	1682	2120
73	1708	2100
74	1730	2076
75	1748	2047
76	1767	2019
77	1783	1989
78	1804	1964
79	1822	1936
80	1838	1907
81	1855	1877
82	1872	1849
83	1889	1821
84	1906	1793
85	1924	1768
86	1941	1740
87	1957	1712
88	1975	1686
89	1993	1661
90	2013	1637
91	2032	1612
92	2053	1589
93	2075	1567
94	2096	1544
95	2117	1522
96	2137	1498
97	2159	1476
98	2179	1453
99	2204	1432
100	2226	1411
101	2248	1388
102	2274	1369
103	2298	1348
104	2326	1329
105	2349	1307
106	2366	1282
107	2381	1257
108	2396	1230
109	2412	1206
110	2428	1181
111	2446	1157
112	2463	1133
113	2480	1109
114	2496	1085
115	2516	1063
116	2533	1039
117	2550	1015
118	2570	993
119	2587	970
120	2606	947
121	2626	925
122	2645	903
123	2663	880
124	2688	860
125	2710	838
126	2752	823
127	2768	800
128	2787	777
129	2804	755
130	2819	731
131	2836	709
132	2854	686
133	2870	664
134	2887	641
135	2903	619
136	2922	597
137	2937	574
138	2953	552
139	2970	530
140	2987	508
141	3005	486
142	3019	464
143	3038	443
144	3054	421
145	3069	399
146	3083	377
147	3103	356
148	3121	335
149	3139	313
150	3155	292
151	3173	271
152	3189	250
153	3206	229
154	3223	207
155	3237	186
156	3257	166
157	3275	145
158	3291	124
159	3308	103
160	3326	82
161	3342	61
162	3360	41
163	3378	20
164	3394	0
